quit -sim
# End time: 19:50:05 on Apr 24,2024, Elapsed time: 0:02:46
# Errors: 0, Warnings: 2
do run.do
# ** Warning: (vdel-134) Unable to remove locked optimized design "_opt1".  Locker is smitdhi@FAB30.
# Error 31: Unable to unlink file "//thoth.cecs.pdx.edu/Home01/smitdhi/My Documents/project_pre/work/@_opt/_lib.qdb".
# Error 31: Unable to unlink file "//thoth.cecs.pdx.edu/Home01/smitdhi/My Documents/project_pre/work/@_opt/_lib3_0.qdb".
# Error 31: Unable to unlink file "//thoth.cecs.pdx.edu/Home01/smitdhi/My Documents/project_pre/work/@_opt/_lib3_0.qpg".
# Error 31: Unable to unlink file "//thoth.cecs.pdx.edu/Home01/smitdhi/My Documents/project_pre/work/@_opt/_lib3_0.qtl".
# Error 133: Unable to remove directory "//thoth.cecs.pdx.edu/Home01/smitdhi/My Documents/project_pre/work/@_opt".
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:50:07 on Apr 24,2024
# vlog -reportprogress 300 -source -lint async_fifo.sv async_fifo_tb.sv 
# -- Compiling module ASYNC_FIFO
# -- Compiling module fifo_mem
# -- Compiling module synchronizer_r2w
# -- Compiling module synchronizer_w2r
# -- Compiling module rptr_handler
# -- Compiling module wptr_handler
# -- Compiling module async_fifo_TB
# 
# Top level modules:
# 	async_fifo_TB
# End time: 19:50:07 on Apr 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# vsim work.async_fifo_TB 
# Start time: 19:50:07 on Apr 24,2024
# ** Note: (vsim-3812) Design is being optimized...
# Loading sv_std.std
# Loading work.async_fifo_TB(fast)
#  
# 
#  Checking PASSED: expected wdata = 09a, rdata = 09a
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 6b6, rdata = 6b6
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = bdc, rdata = bdc
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = d00, rdata = d00
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = c79, rdata = c79
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 46d, rdata = 46d
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = fcc, rdata = fcc
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 09d, rdata = 09d
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 948, rdata = 948
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 091, rdata = 091
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = c16, rdata = c16
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 786, rdata = 786
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = d14, rdata = d14
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = fa3, rdata = fa3
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = d6d, rdata = d6d
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = a11, rdata = a11
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = ca1, rdata = ca1
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = c65, rdata = c65
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 64c, rdata = 64c
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 560, rdata = 560
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 142, rdata = 142
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = dc4, rdata = dc4
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 502, rdata = 502
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = c32, rdata = c32
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 670, rdata = 670
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 637, rdata = 637
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 588, rdata = 588
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = c97, rdata = c97
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 29f, rdata = 29f
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 1a4, rdata = 1a4
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 582, rdata = 582
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 171, rdata = 171
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 572, rdata = 572
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 463, rdata = 463
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 944, rdata = 944
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 105, rdata = 105
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = ad4, rdata = ad4
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 055, rdata = 055
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 99c, rdata = 99c
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 782, rdata = 782
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 67b, rdata = 67b
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 25b, rdata = 25b
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 28b, rdata = 28b
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 618, rdata = 618
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 6df, rdata = 6df
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 6b0, rdata = 6b0
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 06c, rdata = 06c
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 111, rdata = 111
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 322, rdata = 322
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = d98, rdata = d98
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = d56, rdata = d56
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 609, rdata = 609
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = e78, rdata = e78
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = b4e, rdata = b4e
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = fd3, rdata = fd3
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 9cb, rdata = 9cb
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = eb7, rdata = eb7
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 888, rdata = 888
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = c78, rdata = c78
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 094, rdata = 094
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 44d, rdata = 44d
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 1c8, rdata = 1c8
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = f0e, rdata = f0e
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 408, rdata = 408
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 748, rdata = 748
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 3e6, rdata = 3e6
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = f00, rdata = f00
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 65d, rdata = 65d
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
#  Checking PASSED: expected wdata = 238, rdata = 238
# ---------------------------------------------------------------------------------------------------------------------
#  
# 
